start: 86541 constraints, oracle holds
  test 1: g=2 try 43270 rows -> lost [30,8s]
  test 2: g=2 try 43271 rows -> lost [14,6s]
  test 3: g=4 try 64905 rows -> lost [17,6s]
  test 4: g=4 try 64905 rows -> REPRO (kept) [54,1s]
  test 5: g=2 try 32452 rows -> lost [11,4s]
  test 6: g=2 try 32453 rows -> lost [14,0s]
  test 7: g=4 try 48678 rows -> lost [34,3s]
  test 8: g=4 try 48678 rows -> REPRO (kept) [29,5s]
  test 9: g=2 try 24339 rows -> lost [5,3s]
  test 10: g=2 try 24339 rows -> lost [12,4s]
  test 11: g=4 try 36508 rows -> lost [11,0s]
  test 12: g=4 try 36508 rows -> REPRO (kept) [14,5s]
  test 13: g=2 try 18254 rows -> lost [2,5s]
  test 14: g=2 try 18254 rows -> lost [7,4s]
  test 15: g=4 try 27381 rows -> lost [6,3s]
  test 16: g=4 try 27381 rows -> REPRO (kept) [6,2s]
  test 17: g=2 try 13690 rows -> lost [2,1s]
  test 18: g=2 try 13691 rows -> lost [7,3s]
  test 19: g=4 try 20535 rows -> lost [4,0s]
  test 20: g=4 try 20535 rows -> REPRO (kept) [4,4s]
  test 21: g=2 try 10267 rows -> lost [1,8s]
  test 22: g=2 try 10268 rows -> lost [4,7s]
  test 23: g=4 try 15401 rows -> lost [2,1s]
  test 24: g=4 try 15401 rows -> REPRO (kept) [3,0s]
  test 25: g=2 try 7700 rows -> lost [1,6s]
  test 26: g=2 try 7701 rows -> lost [3,6s]
  test 27: g=4 try 11550 rows -> lost [1,7s]
  test 28: g=4 try 11550 rows -> REPRO (kept) [2,6s]
  test 29: g=2 try 5775 rows -> lost [0,9s]
  test 30: g=2 try 5775 rows -> REPRO (kept) [2,4s]
  test 31: g=2 try 2887 rows -> lost [1,4s]
  test 32: g=2 try 2888 rows -> lost [1,6s]
  test 33: g=4 try 4331 rows -> lost [1,7s]
  test 34: g=4 try 4331 rows -> lost [1,4s]
  test 35: g=4 try 4331 rows -> REPRO (kept) [2,1s]
  test 36: g=2 try 2165 rows -> lost [1,6s]
  test 37: g=2 try 2166 rows -> lost [2,2s]
  test 38: g=4 try 3248 rows -> lost [3,1s]
  test 39: g=4 try 3248 rows -> lost [2,5s]
  test 40: g=4 try 3248 rows -> REPRO (kept) [2,7s]
  test 41: g=2 try 1624 rows -> lost [1,5s]
  test 42: g=2 try 1624 rows -> lost [2,5s]
  test 43: g=4 try 2436 rows -> lost [3,4s]
  test 44: g=4 try 2436 rows -> lost [1,9s]
  test 45: g=4 try 2436 rows -> REPRO (kept) [2,8s]
  test 46: g=2 try 1218 rows -> lost [3,2s]
  test 47: g=2 try 1218 rows -> lost [2,0s]
  test 48: g=4 try 1827 rows -> lost [4,6s]
  test 49: g=4 try 1827 rows -> lost [3,4s]
  test 50: g=4 try 1827 rows -> lost [1,9s]
  test 51: g=4 try 1827 rows -> lost [2,3s]
  test 52: g=8 try 2131 rows -> REPRO (kept) [3,2s]
  test 53: g=2 try 1065 rows -> lost [3,1s]
  test 54: g=2 try 1066 rows -> lost [2,0s]
  test 55: g=4 try 1598 rows -> lost [3,0s]
  test 56: g=4 try 1598 rows -> REPRO (kept) [3,0s]
  test 57: g=2 try 799 rows -> lost [1,4s]
  test 58: g=2 try 799 rows -> lost [3,0s]
  test 59: g=4 try 1198 rows -> lost [2,8s]
  test 60: g=4 try 1198 rows -> lost [2,1s]
  test 61: g=4 try 1198 rows -> REPRO (kept) [2,8s]
  test 62: g=2 try 599 rows -> lost [2,0s]
  test 63: g=2 try 599 rows -> lost [1,9s]
  test 64: g=4 try 898 rows -> lost [3,8s]
  test 65: g=4 try 898 rows -> lost [2,2s]
  test 66: g=4 try 898 rows -> lost [2,0s]
  test 67: g=4 try 900 rows -> REPRO (kept) [2,8s]
  test 68: g=2 try 450 rows -> lost [2,5s]
  test 69: g=2 try 450 rows -> lost [1,8s]
  test 70: g=4 try 675 rows -> REPRO (kept) [3,4s]
  test 71: g=2 try 337 rows -> lost [2,4s]
  test 72: g=2 try 338 rows -> lost [2,3s]
  test 73: g=4 try 506 rows -> lost [2,6s]
  test 74: g=4 try 506 rows -> REPRO (kept) [3,4s]
  test 75: g=2 try 253 rows -> lost [2,1s]
  test 76: g=2 try 253 rows -> lost [2,3s]
  test 77: g=4 try 379 rows -> lost [2,5s]
  test 78: g=4 try 379 rows -> lost [46,8s]
  test 79: g=4 try 379 rows -> lost [2,3s]
  test 80: g=4 try 381 rows -> lost [3,2s]
  test 81: g=8 try 442 rows -> REPRO (kept) [3,1s]
  test 82: g=2 try 221 rows -> lost [2,1s]
  test 83: g=2 try 221 rows -> lost [2,6s]
  test 84: g=4 try 331 rows -> lost [2,3s]
  test 85: g=4 try 331 rows -> lost [49,7s]
  test 86: g=4 try 331 rows -> lost [2,4s]
  test 87: g=4 try 333 rows -> lost [3,4s]
  test 88: g=8 try 386 rows -> lost [3,0s]
  test 89: g=8 try 386 rows -> lost [2,4s]
  test 90: g=8 try 386 rows -> lost [47,0s]
  test 91: g=8 try 386 rows -> lost [4,1s]
  test 92: g=8 try 386 rows -> lost [3,9s]
  test 93: g=8 try 386 rows -> lost [2,5s]
  test 94: g=8 try 386 rows -> lost [3,3s]
  test 95: g=8 try 392 rows -> REPRO (kept) [3,0s]
  test 96: g=2 try 196 rows -> lost [2,0s]
  test 97: g=2 try 196 rows -> lost [2,3s]
  test 98: g=4 try 294 rows -> lost [2,5s]
  test 99: g=4 try 294 rows -> lost [48,4s]
  test 100: g=4 try 294 rows -> lost [3,3s]
  test 101: g=4 try 294 rows -> lost [3,3s]
  test 102: g=8 try 343 rows -> lost [3,2s]
  test 103: g=8 try 343 rows -> lost [2,5s]
  test 104: g=8 try 343 rows -> lost [33,6s]
  test 105: g=8 try 343 rows -> lost [3,0s]
  test 106: g=8 try 343 rows -> lost [2,9s]
  test 107: g=8 try 343 rows -> lost [2,5s]
  test 108: g=8 try 343 rows -> lost [2,4s]
  test 109: g=8 try 343 rows -> lost [2,1s]
  test 110: g=16 try 367 rows -> lost [2,5s]
  test 111: g=16 try 367 rows -> lost [2,4s]
  test 112: g=16 try 367 rows -> lost [1,7s]
  test 113: g=16 try 367 rows -> REPRO (kept) [2,2s]
  test 114: g=2 try 183 rows -> lost [1,5s]
  test 115: g=2 try 184 rows -> lost [1,6s]
  test 116: g=4 try 275 rows -> lost [1,7s]
  test 117: g=4 try 275 rows -> lost [33,3s]
  test 118: g=4 try 275 rows -> lost [2,7s]
  test 119: g=4 try 276 rows -> lost [2,3s]
  test 120: g=8 try 321 rows -> lost [2,3s]
  test 121: g=8 try 321 rows -> lost [1,7s]
  test 122: g=8 try 321 rows -> lost [39,0s]
  test 123: g=8 try 321 rows -> lost [3,8s]
  test 124: g=8 try 321 rows -> lost [3,8s]
  test 125: g=8 try 321 rows -> lost [3,7s]
  test 126: g=8 try 321 rows -> lost [2,8s]
  test 127: g=8 try 322 rows -> lost [2,4s]
  test 128: g=16 try 344 rows -> lost [3,0s]
  test 129: g=16 try 344 rows -> lost [2,5s]
  test 130: g=16 try 344 rows -> lost [1,9s]
  test 131: g=16 try 344 rows -> REPRO (kept) [2,1s]
  test 132: g=2 try 172 rows -> lost [1,5s]
  test 133: g=2 try 172 rows -> lost [1,7s]
  test 134: g=4 try 258 rows -> lost [1,5s]
  test 135: g=4 try 258 rows -> lost [2,9s]
  test 136: g=4 try 258 rows -> lost [2,6s]
  test 137: g=4 try 258 rows -> lost [2,3s]
  test 138: g=8 try 301 rows -> lost [2,2s]
  test 139: g=8 try 301 rows -> lost [1,4s]
  test 140: g=8 try 301 rows -> lost [2,7s]
  test 141: g=8 try 301 rows -> lost [2,8s]
  test 142: g=8 try 301 rows -> lost [2,7s]
  test 143: g=8 try 301 rows -> lost [2,6s]
  test 144: g=8 try 301 rows -> lost [2,3s]
  test 145: g=8 try 301 rows -> lost [3,4s]
  test 146: g=16 try 322 rows -> lost [3,4s]
  test 147: g=16 try 322 rows -> lost [2,9s]
  test 148: g=16 try 322 rows -> lost [2,2s]
  test 149: g=16 try 322 rows -> lost [35,0s]
  test 150: g=16 try 322 rows -> lost [2,7s]
  test 151: g=16 try 322 rows -> lost [2,7s]
  test 152: g=16 try 322 rows -> lost [2,7s]
  test 153: g=16 try 322 rows -> lost [2,7s]
  test 154: g=16 try 322 rows -> lost [2,7s]
  test 155: g=16 try 322 rows -> lost [2,8s]
  test 156: g=16 try 322 rows -> lost [2,5s]
  test 157: g=16 try 322 rows -> lost [1,8s]
  test 158: g=16 try 322 rows -> lost [2,4s]
  test 159: g=16 try 322 rows -> lost [2,1s]
  test 160: g=16 try 322 rows -> REPRO (kept) [2,1s]
  test 161: g=2 try 161 rows -> lost [1,4s]
  test 162: g=2 try 161 rows -> lost [1,5s]
  test 163: g=4 try 241 rows -> lost [1,7s]
  test 164: g=4 try 241 rows -> lost [33,4s]
  test 165: g=4 try 241 rows -> lost [32,9s]
  test 166: g=4 try 243 rows -> lost [2,2s]
  test 167: g=8 try 281 rows -> lost [2,2s]
  test 168: g=8 try 281 rows -> lost [1,6s]
  test 169: g=8 try 281 rows -> lost [2,7s]
  test 170: g=8 try 281 rows -> lost [2,7s]
  test 171: g=8 try 281 rows -> lost [2,6s]
  test 172: g=8 try 281 rows -> lost [2,3s]
  test 173: g=8 try 281 rows -> lost [2,2s]
  test 174: g=8 try 287 rows -> lost [2,1s]
  test 175: g=16 try 301 rows -> lost [2,5s]
  test 176: g=16 try 301 rows -> lost [2,2s]
  test 177: g=16 try 301 rows -> lost [1,7s]
  test 178: g=16 try 301 rows -> lost [33,4s]
  test 179: g=16 try 301 rows -> lost [2,8s]
  test 180: g=16 try 301 rows -> lost [2,6s]
  test 181: g=16 try 301 rows -> lost [2,6s]
  test 182: g=16 try 301 rows -> lost [2,5s]
  test 183: g=16 try 301 rows -> lost [2,5s]
  test 184: g=16 try 301 rows -> lost [2,5s]
  test 185: g=16 try 301 rows -> lost [2,5s]
  test 186: g=16 try 301 rows -> lost [2,3s]
  test 187: g=16 try 301 rows -> lost [2,1s]
  test 188: g=16 try 301 rows -> REPRO (kept) [2,2s]
  test 189: g=2 try 150 rows -> lost [1,3s]
  test 190: g=2 try 151 rows -> lost [1,4s]
  test 191: g=4 try 225 rows -> lost [1,6s]
  test 192: g=4 try 225 rows -> lost [2,5s]
  test 193: g=4 try 225 rows -> lost [2,4s]
  test 194: g=4 try 228 rows -> lost [1,4s]
  test 195: g=8 try 263 rows -> lost [2,2s]
  test 196: g=8 try 263 rows -> lost [1,5s]
  test 197: g=8 try 263 rows -> lost [2,4s]
  test 198: g=8 try 263 rows -> lost [2,5s]
  test 199: g=8 try 263 rows -> lost [2,5s]
  test 200: g=8 try 263 rows -> lost [2,5s]
  test 201: g=8 try 263 rows -> lost [1,6s]
  test 202: g=8 try 266 rows -> lost [2,1s]
  test 203: g=16 try 282 rows -> lost [2,3s]
  test 204: g=16 try 282 rows -> lost [2,3s]
  test 205: g=16 try 282 rows -> lost [2,1s]
  test 206: g=16 try 282 rows -> lost [1,7s]
  test 207: g=16 try 282 rows -> lost [2,5s]
  test 208: g=16 try 282 rows -> lost [2,5s]
  test 209: g=16 try 282 rows -> lost [2,5s]
  test 210: g=16 try 282 rows -> lost [2,4s]
  test 211: g=16 try 282 rows -> lost [2,5s]
  test 212: g=16 try 282 rows -> lost [2,5s]
  test 213: g=16 try 282 rows -> lost [2,5s]
  test 214: g=16 try 282 rows -> lost [2,5s]
  test 215: g=16 try 282 rows -> REPRO (kept) [2,0s]
  test 216: g=2 try 141 rows -> lost [1,3s]
  test 217: g=2 try 141 rows -> lost [1,6s]
  test 218: g=4 try 211 rows -> lost [1,4s]
  test 219: g=4 try 211 rows -> lost [2,2s]
  test 220: g=4 try 211 rows -> lost [2,2s]
  test 221: g=4 try 213 rows -> lost [1,5s]
  test 222: g=8 try 246 rows -> lost [1,9s]
  test 223: g=8 try 246 rows -> lost [1,3s]
  test 224: g=8 try 246 rows -> lost [2,2s]
  test 225: g=8 try 246 rows -> lost [2,2s]
  test 226: g=8 try 246 rows -> lost [2,2s]
  test 227: g=8 try 246 rows -> lost [2,2s]
  test 228: g=8 try 246 rows -> lost [1,5s]
  test 229: g=8 try 252 rows -> lost [2,1s]
  test 230: g=16 try 264 rows -> lost [3,0s]
  test 231: g=16 try 264 rows -> REPRO (kept) [2,3s]
  test 232: g=2 try 132 rows -> lost [1,9s]
  test 233: g=2 try 132 rows -> lost [1,8s]
  test 234: g=4 try 198 rows -> lost [1,8s]
  test 235: g=4 try 198 rows -> lost [3,0s]
  test 236: g=4 try 198 rows -> lost [2,0s]
  test 237: g=4 try 198 rows -> lost [1,3s]
  test 238: g=8 try 231 rows -> lost [2,0s]
  test 239: g=8 try 231 rows -> lost [1,2s]
  test 240: g=8 try 231 rows -> lost [2,0s]
  test 241: g=8 try 231 rows -> lost [2,0s]
  test 242: g=8 try 231 rows -> lost [1,9s]
  test 243: g=8 try 231 rows -> lost [2,0s]
  test 244: g=8 try 231 rows -> lost [1,4s]
  test 245: g=8 try 231 rows -> lost [1,6s]
  test 246: g=16 try 247 rows -> lost [2,0s]
  test 247: g=16 try 247 rows -> lost [1,8s]
  test 248: g=16 try 247 rows -> lost [1,2s]
  test 249: g=16 try 247 rows -> lost [1,9s]
  test 250: g=16 try 247 rows -> lost [2,0s]
  test 251: g=16 try 247 rows -> lost [2,0s]
  test 252: g=16 try 247 rows -> lost [2,0s]
  test 253: g=16 try 247 rows -> lost [2,0s]
  test 254: g=16 try 247 rows -> lost [1,9s]
  test 255: g=16 try 247 rows -> lost [1,9s]
  test 256: g=16 try 247 rows -> lost [2,0s]
  test 257: g=16 try 247 rows -> lost [1,9s]
  test 258: g=16 try 247 rows -> lost [2,2s]
  test 259: g=16 try 247 rows -> lost [1,4s]
  test 260: g=16 try 247 rows -> lost [1,6s]
  test 261: g=16 try 255 rows -> REPRO (kept) [1,8s]
  test 262: g=2 try 127 rows -> lost [1,8s]
  test 263: g=2 try 128 rows -> lost [2,1s]
  test 264: g=4 try 191 rows -> lost [1,8s]
  test 265: g=4 try 191 rows -> lost [3,0s]
  test 266: g=4 try 191 rows -> lost [2,8s]
  test 267: g=4 try 192 rows -> lost [1,3s]
  test 268: g=8 try 223 rows -> lost [2,1s]
  test 269: g=8 try 223 rows -> lost [1,3s]
  test 270: g=8 try 223 rows -> lost [2,1s]
  test 271: g=8 try 223 rows -> lost [2,6s]
  test 272: g=8 try 223 rows -> lost [3,1s]
  test 273: g=8 try 223 rows -> lost [2,8s]
  test 274: g=8 try 223 rows -> lost [1,7s]
  test 275: g=8 try 224 rows -> lost [1,4s]
  test 276: g=16 try 239 rows -> lost [2,0s]
  test 277: g=16 try 239 rows -> lost [1,8s]
  test 278: g=16 try 239 rows -> lost [1,5s]
  test 279: g=16 try 239 rows -> REPRO (kept) [2,2s]
  test 280: g=2 try 119 rows -> lost [1,8s]
  test 281: g=2 try 120 rows -> lost [2,0s]
  test 282: g=4 try 179 rows -> lost [1,7s]
  test 283: g=4 try 179 rows -> lost [2,9s]
  test 284: g=4 try 179 rows -> lost [3,0s]
  test 285: g=4 try 180 rows -> lost [1,8s]
  test 286: g=8 try 209 rows -> lost [2,9s]
  test 287: g=8 try 209 rows -> lost [1,8s]
  test 288: g=8 try 209 rows -> lost [2,7s]
  test 289: g=8 try 209 rows -> lost [3,1s]
  test 290: g=8 try 209 rows -> lost [2,6s]
  test 291: g=8 try 209 rows -> lost [3,0s]
  test 292: g=8 try 209 rows -> lost [1,8s]
  test 293: g=8 try 210 rows -> lost [2,2s]
  test 294: g=16 try 224 rows -> lost [3,0s]
  test 295: g=16 try 224 rows -> lost [3,0s]
  test 296: g=16 try 224 rows -> lost [2,0s]
  test 297: g=16 try 224 rows -> lost [2,8s]
  test 298: g=16 try 224 rows -> lost [2,9s]
  test 299: g=16 try 224 rows -> lost [3,0s]
  test 300: g=16 try 224 rows -> lost [3,0s]
  test 301: g=16 try 224 rows -> lost [3,0s]
  test 302: g=16 try 224 rows -> lost [3,0s]
  test 303: g=16 try 224 rows -> lost [3,0s]
  test 304: g=16 try 224 rows -> lost [3,0s]
  test 305: g=16 try 224 rows -> lost [3,0s]
  test 306: g=16 try 224 rows -> lost [2,7s]
  test 307: g=16 try 224 rows -> lost [2,2s]
  test 308: g=16 try 224 rows -> lost [1,8s]
  test 309: g=16 try 225 rows -> lost [1,9s]
  test 310: g=32 try 231 rows -> lost [2,8s]
  test 311: g=32 try 231 rows -> lost [2,9s]
  test 312: g=32 try 231 rows -> lost [2,9s]
  test 313: g=32 try 231 rows -> lost [2,6s]
  test 314: g=32 try 231 rows -> lost [2,2s]
  test 315: g=32 try 231 rows -> lost [2,6s]
  test 316: g=32 try 231 rows -> lost [2,6s]
  test 317: g=32 try 231 rows -> lost [2,8s]
  test 318: g=32 try 231 rows -> lost [2,8s]
  test 319: g=32 try 231 rows -> lost [2,8s]
  test 320: g=32 try 231 rows -> lost [2,8s]
  test 321: g=32 try 231 rows -> lost [2,8s]
  test 322: g=32 try 231 rows -> lost [2,7s]
  test 323: g=32 try 231 rows -> lost [2,8s]
  test 324: g=32 try 231 rows -> lost [2,8s]
  test 325: g=32 try 231 rows -> lost [2,8s]
  test 326: g=32 try 231 rows -> lost [2,9s]
  test 327: g=32 try 231 rows -> lost [2,9s]
  test 328: g=32 try 231 rows -> lost [2,8s]
  test 329: g=32 try 231 rows -> lost [2,6s]
  test 330: g=32 try 231 rows -> lost [2,8s]
  test 331: g=32 try 231 rows -> lost [2,5s]
  test 332: g=32 try 231 rows -> lost [2,8s]
  test 333: g=32 try 231 rows -> lost [2,7s]
  test 334: g=32 try 231 rows -> lost [2,5s]
  test 335: g=32 try 231 rows -> lost [2,5s]
  test 336: g=32 try 231 rows -> lost [2,2s]
  test 337: g=32 try 231 rows -> REPRO (kept) [2,2s]
  test 338: g=2 try 115 rows -> lost [1,4s]
  test 339: g=2 try 116 rows -> lost [2,0s]
  test 340: g=4 try 173 rows -> lost [1,3s]
  test 341: g=4 try 173 rows -> lost [3,0s]
  test 342: g=4 try 173 rows -> lost [3,0s]
  test 343: g=4 try 174 rows -> lost [2,1s]
  test 344: g=8 try 202 rows -> lost [2,9s]
  test 345: g=8 try 202 rows -> lost [1,2s]
  test 346: g=8 try 202 rows -> lost [2,0s]
  test 347: g=8 try 202 rows -> lost [1,9s]
  test 348: g=8 try 202 rows -> lost [1,9s]
  test 349: g=8 try 202 rows -> lost [1,9s]
  test 350: g=8 try 202 rows -> lost [2,1s]
  test 351: g=8 try 203 rows -> lost [1,4s]
  test 352: g=16 try 216 rows -> lost [1,9s]
  test 353: g=16 try 216 rows -> lost [2,0s]
  test 354: g=16 try 216 rows -> lost [1,1s]
  test 355: g=16 try 216 rows -> lost [1,9s]
  test 356: g=16 try 216 rows -> lost [2,0s]
  test 357: g=16 try 216 rows -> lost [1,9s]
  test 358: g=16 try 216 rows -> lost [1,9s]
  test 359: g=16 try 216 rows -> lost [1,9s]
  test 360: g=16 try 216 rows -> lost [1,9s]
  test 361: g=16 try 216 rows -> lost [1,9s]
  test 362: g=16 try 216 rows -> lost [1,9s]
  test 363: g=16 try 216 rows -> lost [1,9s]
  test 364: g=16 try 216 rows -> lost [1,9s]
  test 365: g=16 try 216 rows -> lost [1,4s]
  test 366: g=16 try 216 rows -> lost [1,5s]
  test 367: g=16 try 225 rows -> REPRO (kept) [1,6s]
  test 368: g=2 try 112 rows -> lost [1,2s]
  test 369: g=2 try 113 rows -> lost [1,4s]
  test 370: g=4 try 168 rows -> lost [1,1s]
  test 371: g=4 try 168 rows -> lost [1,9s]
  test 372: g=4 try 168 rows -> lost [1,9s]
  test 373: g=4 try 171 rows -> lost [1,3s]
  test 374: g=8 try 196 rows -> lost [2,0s]
  test 375: g=8 try 196 rows -> lost [1,1s]
  test 376: g=8 try 196 rows -> lost [2,0s]
  test 377: g=8 try 196 rows -> lost [1,9s]
  test 378: g=8 try 196 rows -> lost [1,9s]
  test 379: g=8 try 196 rows -> lost [2,8s]
  test 380: g=8 try 196 rows -> lost [2,5s]
  test 381: g=8 try 203 rows -> lost [1,4s]
  test 382: g=16 try 210 rows -> lost [2,0s]
  test 383: g=16 try 210 rows -> lost [1,9s]
  test 384: g=16 try 210 rows -> lost [1,2s]
  test 385: g=16 try 210 rows -> lost [1,9s]
  test 386: g=16 try 210 rows -> lost [1,9s]
  test 387: g=16 try 210 rows -> lost [2,0s]
  test 388: g=16 try 210 rows -> lost [1,9s]
  test 389: g=16 try 210 rows -> lost [1,9s]
  test 390: g=16 try 210 rows -> lost [1,9s]
  test 391: g=16 try 210 rows -> lost [1,9s]
  test 392: g=16 try 210 rows -> lost [1,9s]
  test 393: g=16 try 210 rows -> lost [1,9s]
  test 394: g=16 try 210 rows -> lost [1,9s]
  test 395: g=16 try 210 rows -> lost [1,4s]
  test 396: g=16 try 210 rows -> lost [1,5s]
  test 397: g=32 try 217 rows -> lost [1,9s]
  test 398: g=32 try 217 rows -> lost [1,9s]
  test 399: g=32 try 217 rows -> lost [1,9s]
  test 400: g=32 try 217 rows -> lost [1,9s]
  test 401: g=32 try 217 rows -> lost [1,4s]
  test 402: g=32 try 217 rows -> lost [1,7s]
  test 403: g=32 try 217 rows -> lost [1,9s]
  test 404: g=32 try 217 rows -> lost [1,9s]
  test 405: g=32 try 217 rows -> lost [1,9s]
  test 406: g=32 try 217 rows -> lost [1,9s]
  test 407: g=32 try 217 rows -> lost [1,9s]
  test 408: g=32 try 217 rows -> lost [2,3s]
  test 409: g=32 try 217 rows -> lost [2,0s]
  test 410: g=32 try 217 rows -> lost [1,9s]
  test 411: g=32 try 217 rows -> lost [1,9s]
  test 412: g=32 try 217 rows -> lost [1,9s]
  test 413: g=32 try 217 rows -> lost [2,1s]
  test 414: g=32 try 217 rows -> lost [2,8s]
  test 415: g=32 try 217 rows -> lost [2,3s]
  test 416: g=32 try 217 rows -> lost [2,1s]
  test 417: g=32 try 217 rows -> lost [2,0s]
  test 418: g=32 try 217 rows -> lost [2,0s]
  test 419: g=32 try 217 rows -> lost [1,9s]
  test 420: g=32 try 217 rows -> lost [1,9s]
  test 421: g=32 try 217 rows -> lost [2,0s]
  test 422: g=32 try 217 rows -> lost [1,7s]
  test 423: g=32 try 217 rows -> lost [1,7s]
  test 424: g=32 try 217 rows -> lost [1,8s]
  test 425: g=32 try 224 rows -> REPRO (kept) [1,6s]
  test 426: g=2 try 112 rows -> lost [1,1s]
  test 427: g=2 try 112 rows -> lost [1,3s]
  test 428: g=4 try 168 rows -> lost [1,2s]
  test 429: g=4 try 168 rows -> lost [2,0s]
  test 430: g=4 try 168 rows -> lost [2,0s]
  test 431: g=4 try 168 rows -> lost [1,3s]
  test 432: g=8 try 196 rows -> lost [2,1s]
  test 433: g=8 try 196 rows -> lost [1,1s]
  test 434: g=8 try 196 rows -> lost [2,0s]
  test 435: g=8 try 196 rows -> lost [2,0s]
  test 436: g=8 try 196 rows -> lost [2,0s]
  test 437: g=8 try 196 rows -> lost [2,0s]
  test 438: g=8 try 196 rows -> lost [1,9s]
  test 439: g=8 try 196 rows -> lost [1,3s]
  test 440: g=16 try 210 rows -> lost [2,0s]
  test 441: g=16 try 210 rows -> lost [1,9s]
